bu_naam,gm_naam,bev_dichth,SUM_TOTAAL,SUM_ZOOGDIEREN,SUM_WEEKDIEREN,SUM_VOGELS,SUM_VISSEN,SUM_SPRINKHANE,SUM_REPTIELEN,SUM_LIBELLEN,SUM_HAFTEN_KOK,SUM_DAGVLINDER,SUM_BIJEN_EN_H,SUM_AMFIBIEEN,Shape_Length,Shape_Area,Area_km2,SpeciesDensity
Het Zand-West,Utrecht,7717,28.000000000000000,6.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,4739.930535824381877,913993.344867178821005,0.9139934,30.6347961
Vleuterweide-West,Utrecht,7757,28.000000000000000,5.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,3.000000000000000,4186.299334254384121,860018.198808442684822,0.8600182,32.5574493
Willem III,Amersfoort,7757,23.000000000000000,3.000000000000000,1.000000000000000,4.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,5.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,2285.770203595705880,209972.424820845306385,0.2099724,109.5381927
Nieuwegracht-Oost,Utrecht,7781,15.000000000000000,4.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,2.000000000000000,0.000000000000000,3.000000000000000,1906.533757807550728,157319.830094182922039,0.1573198,95.3471680
Wintertuinen,Amersfoort,7804,5.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1473.905192583348025,118481.047146368422545,0.1184810,42.2008438
Vechtzoom-zuid,Utrecht,7808,26.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,1.000000000000000,5.000000000000000,1.000000000000000,0.000000000000000,3453.191739829107064,684140.994842915446497,0.6841410,38.0038643
Hogebrug,Stichtse Vecht,7824,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1529.340745066294858,97863.809920516141574,0.0978638,10.2182817
Het Gein,Amersfoort,7834,12.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,1715.619065565259007,155452.213616454362636,0.1554522,77.1941452
Oranjekwartier,IJsselstein,7846,19.000000000000000,2.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1384.003391321835807,115832.128290820764960,0.1158321,164.0304871
Vleuterweide-Noord/Oost/Centrum,Utrecht,7847,42.000000000000000,8.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,3.000000000000000,5451.456281691235745,991348.462365297949873,0.9913484,42.3665352
Crosestein,Zeist,7935,10.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1720.240667986986864,134440.390409428044222,0.1344404,74.3824081
Centrum / Waterpark,Amersfoort,8007,8.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,2378.352180956545908,220556.844767519709421,0.2205568,36.2718277
Waters,Houten,8023,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3651.585726536429775,307239.684259429574013,0.3072397,6.5095758
Elly Takmastraat e.o.,Amersfoort,8031,17.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,2420.339098556876706,261898.096931898762705,0.2618981,64.9107437
Achter de Pijp,Vijfheerenlanden,8051,12.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,1.000000000000000,2364.979978016239329,276334.925716951664072,0.2763349,43.4255676
Het Staatse,IJsselstein,8053,13.000000000000000,2.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2141.493428567045157,254829.389914375788067,0.2548294,51.0145264
Staatsliedenbuurt,Vijfheerenlanden,8066,17.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,2.000000000000000,2462.860848118973990,231261.037229879235383,0.2312610,73.5100098
Muren,Houten,8122,5.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3391.965664558129447,282044.397982802591287,0.2820444,17.7277050
Juliana van Stolberg,Amersfoort,8124,17.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,4.000000000000000,0.000000000000000,1.000000000000000,1677.642580294912477,161388.109218297031475,0.1613881,105.3361359
Polderbuurt-Noord,Amersfoort,8173,8.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,2040.834831187071359,248058.404837425012374,0.2480584,32.2504692
